2020-04-06-13.20.11
Training
Epoch : 1, Loss : 3.5607, Accuracy: 0.1020, Test accuracy: 0.1000
Epoch : 2, Loss : 2.5612, Accuracy: 0.1046, Test accuracy: 0.0984
Epoch : 3, Loss : 2.3736, Accuracy: 0.1026, Test accuracy: 0.0999
Epoch : 4, Loss : 2.3178, Accuracy: 0.1002, Test accuracy: 0.0995
Epoch : 5, Loss : 2.3042, Accuracy: 0.1206, Test accuracy: 0.1154
Epoch : 6, Loss : 2.3028, Accuracy: 0.1074, Test accuracy: 0.1007
Epoch : 7, Loss : 2.3037, Accuracy: 0.1130, Test accuracy: 0.1029
Epoch : 8, Loss : 2.3011, Accuracy: 0.1068, Test accuracy: 0.1003
Epoch : 9, Loss : 2.3000, Accuracy: 0.1068, Test accuracy: 0.1000
Epoch : 10, Loss : 2.2998, Accuracy: 0.1068, Test accuracy: 0.1000
... completed!
